id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,brand,combined_features
51832,women,Apparel,Innerwear,bra,beige,summer,2016,casual,Bwitch Beige Full-Coverage Bra BW335,bwitch,women bra beige bwitch casual summer bwitch beige full-coverage bra bw335
47359,women,Accessories,Bags,handbags,brown,summer,2012,casual,Baggit Women Brown Handbag,baggit,women handbags brown baggit casual summer baggit women brown handbag
17429,men,Accessories,Watches,watches,black,winter,2016,casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,casio,men watches black casio casual winter casio g-shock men black digital watch g-7710-1dr g223
12967,men,Footwear,Sandal,sandals,black,fall,2011,casual,ADIDAS Men Spry M Black Sandals,adidas,men sandals black adidas casual fall adidas men spry m black sandals
6842,unisex,Accessories,Shoe Accessories,shoe accessories,black,summer,2011,casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,timberland,unisex shoe accessories black timberland casual summer timberland unisex rubber sole brush shoe accessories
13089,men,Apparel,Topwear,sweatshirts,grey,fall,2011,sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,adidas,men sweatshirts grey adidas sports fall adidas men lfc auth hood grey sweatshirts
18461,men,Personal Care,Fragrance,deodorant,white,spring,2017,casual,David Beckham Signature Men Deos,david,men deodorant white david casual spring david beckham signature men deos
9036,men,Footwear,Shoes,formal shoes,black,winter,2011,formal,Buckaroo Men Flores Black Formal Shoes,buckaroo,men formal shoes black buckaroo formal winter buckaroo men flores black formal shoes
48311,women,Accessories,Jewellery,bracelet,bronze,winter,2012,casual,Pitaraa Women Bronze Beaded Bracelet,pitaraa,women bracelet bronze pitaraa casual winter pitaraa women bronze beaded bracelet
7990,men,Apparel,Topwear,tshirts,navy blue,fall,2011,sports,Fila Men's Round Neck Navy Blue T-shirt,fila,men tshirts navy blue fila sports fall fila men's round neck navy blue t-shirt
56019,women,Personal Care,Lips,lipstick,brown,spring,2017,casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,colorbar,women lipstick brown colorbar casual spring colorbar soft touch show stopper copper lipstick 037
21977,women,Accessories,Bags,handbags,brown,winter,2015,casual,Murcia Women Casual Brown Handbag,murcia,women handbags brown murcia casual winter murcia women casual brown handbag
37812,men,Apparel,Topwear,shirts,navy blue,summer,2012,formal,John Players Men Navy Blue Shirt,john,men shirts navy blue john formal summer john players men navy blue shirt
4729,boys,Apparel,Topwear,tshirts,green,summer,2011,casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,disney,boys tshirts green disney casual summer disney kids boy's crew sea life sialing green teen kidswear
56825,men,Apparel,Topwear,shirts,brown,summer,2012,casual,John Players Men Brown Shirt,john,men shirts brown john casual summer john players men brown shirt
39988,men,Footwear,Shoes,casual shoes,white,winter,2014,casual,Gas Men Europa White Shoes,gas,men casual shoes white gas casual winter gas men europa white shoes
59051,women,Footwear,Shoes,flats,black,winter,2012,casual,Carlton London Women Black & Gold Toned Flats,carlton,women flats black carlton casual winter carlton london women black & gold toned flats
20099,women,Apparel,Topwear,kurtas,green,fall,2011,ethnic,Diva Women Embroided Green Kurta,diva,women kurtas green diva ethnic fall diva women embroided green kurta
58183,women,Accessories,Bags,handbags,white,summer,2012,casual,Rocky S Women White Handbag,rocky,women handbags white rocky casual summer rocky s women white handbag
29742,women,Accessories,Bags,handbags,teal,summer,2012,casual,Kiara Women Teal Handbag,kiara,women handbags teal kiara casual summer kiara women teal handbag
51658,women,Accessories,Watches,watches,copper,winter,2016,casual,Fossil Women Copper Chronograph Watch CH2589,fossil,women watches copper fossil casual winter fossil women copper chronograph watch ch2589
3954,women,Apparel,Topwear,tshirts,pink,summer,2011,casual,Jealous 21 Women's Pink T-shirt,jealous 21,women tshirts pink jealous 21 casual summer jealous 21 women's pink t-shirt
18839,men,Accessories,Belts,belts,black,fall,2011,formal,Peter England Men Formal Black Belt,peter england,men belts black peter england formal fall peter england men formal black belt
2886,women,Footwear,Shoes,flats,brown,winter,2015,casual,Catwalk Women Leather Brown Flats,catwalk,women flats brown catwalk casual winter catwalk women leather brown flats
23278,men,Accessories,Watches,watches,off white,winter,2016,casual,Maxima Ssteele Men Off White Watch,maxima,men watches off white maxima casual winter maxima ssteele men off white watch
28690,women,Apparel,Topwear,kurtas,beige,summer,2012,ethnic,W Women Printed Beige Kurta,w,women kurtas beige w ethnic summer w women printed beige kurta
8580,men,Apparel,Topwear,waistcoat,grey,fall,2011,casual,Scullers Men  Grey Waistcoat,scullers,men waistcoat grey scullers casual fall scullers men  grey waistcoat
3168,men,Footwear,Shoes,sports shoes,white,fall,2010,sports,Nike Men's Incinerate MSL White Blue Shoe,nike,men sports shoes white nike sports fall nike men's incinerate msl white blue shoe
18005,men,Apparel,Bottomwear,shorts,black,summer,2011,sports,Puma Men Long Logo Black Bermuda,puma,men shorts black puma sports summer puma men long logo black bermuda
17871,men,Apparel,Innerwear,briefs,maroon,winter,2016,casual,Levis Men Boxer Maroon Brief,levis,men briefs maroon levis casual winter levis men boxer maroon brief
9452,men,Apparel,Topwear,shirts,red,fall,2011,formal,John Miller Men Stripes White Red Shirts,john,men shirts red john formal fall john miller men stripes white red shirts
38402,women,Accessories,Belts,belts,black,summer,2012,casual,Baggit Women Hood Dabang Black Belt,baggit,women belts black baggit casual summer baggit women hood dabang black belt
44984,women,Accessories,Watches,watches,white,winter,2016,casual,Maxima Women White Dial Watch,maxima,women watches white maxima casual winter maxima women white dial watch
10268,men,Footwear,Shoes,formal shoes,black,fall,2012,formal,Clarks Men Hang Work Leather Black Formal Shoes,clarks,men formal shoes black clarks formal fall clarks men hang work leather black formal shoes
45856,women,Apparel,Topwear,kurtas,brown,summer,2012,ethnic,Vishudh Women Brown Kurta,vishudh,women kurtas brown vishudh ethnic summer vishudh women brown kurta
32138,men,Apparel,Innerwear,briefs,blue,summer,2016,casual,Playboy Men Blue Titanium Briefs,playboy,men briefs blue playboy casual summer playboy men blue titanium briefs
59435,men,Footwear,Shoes,formal shoes,black,summer,2012,formal,Arrow Men Black Formal Shoes,arrow,men formal shoes black arrow formal summer arrow men black formal shoes
5891,men,Apparel,Topwear,tshirts,black,summer,2011,casual,Puma Men's Stripe Polo Black T-shirt,puma,men tshirts black puma casual summer puma men's stripe polo black t-shirt
38630,women,Apparel,Topwear,tshirts,purple,summer,2012,casual,Nike Women Purple Polo T-shirt,nike,women tshirts purple nike casual summer nike women purple polo t-shirt
4943,men,Apparel,Topwear,shirts,white,summer,2011,casual,Gini and Jony Boy's Kaleb White Brown Kidswear,gini & jony,men shirts white gini & jony casual summer gini and jony boy's kaleb white brown kidswear
11188,men,Accessories,Watches,watches,silver,winter,2016,casual,Carrera Men Dial steel finish strap Silver Watches,carrera,men watches silver carrera casual winter carrera men dial steel finish strap silver watches
10866,men,Apparel,Topwear,tshirts,red,fall,2011,casual,Wrangler Men Motor Rider Red T-Shirts,wrangler,men tshirts red wrangler casual fall wrangler men motor rider red t-shirts
59607,women,Apparel,Saree,sarees,grey,fall,2012,ethnic,FNF Pink & Grey Wedding Collection Sari,fnf,women sarees grey fnf ethnic fall fnf pink & grey wedding collection sari
15528,men,Apparel,Topwear,tshirts,black,fall,2011,casual,Puma Men Scribble Black Tshirts,puma,men tshirts black puma casual fall puma men scribble black tshirts
45258,men,Accessories,Watches,watches,black,winter,2016,casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,casio,men watches black casio casual winter casio edifice men black dial chronograph watch ed60
42841,women,Accessories,Bags,handbags,beige,summer,2012,casual,French Connection Women Beige Handbag,french connection,women handbags beige french connection casual summer french connection women beige handbag
22198,men,Footwear,Shoes,casual shoes,black,fall,2012,casual,Timberland Men Black Casual Shoes,timberland,men casual shoes black timberland casual fall timberland men black casual shoes
29570,men,Footwear,Shoes,casual shoes,purple,summer,2012,casual,Vans Men Classic Slip-On Purple & Black Shoes,vans,men casual shoes purple vans casual summer vans men classic slip-on purple & black shoes
43993,women,Personal Care,Fragrance,perfume and body mist,pink,spring,2017,casual,Police Women Passion Perfume,police,women perfume and body mist pink police casual spring police women passion perfume
6628,men,Footwear,Shoes,sports shoes,white,summer,2011,sports,ADIDAS Men's Lowell White Silver Shoe,adidas,men sports shoes white adidas sports summer adidas men's lowell white silver shoe
54924,men,Apparel,Bottomwear,shorts,blue,summer,2012,casual,Do U Speak Green Men Blue Shorts,do,men shorts blue do casual summer do u speak green men blue shorts
26538,men,Footwear,Shoes,casual shoes,red,fall,2012,casual,ID Men Red Shoes,id,men casual shoes red id casual fall id men red shoes
35913,women,Accessories,Bags,handbags,black,summer,2012,casual,Peperone Women Black & White Handbag,peperone,women handbags black peperone casual summer peperone women black & white handbag
49495,men,Footwear,Shoes,casual shoes,khaki,summer,2012,casual,Vans Men Khaki Shoes,vans,men casual shoes khaki vans casual summer vans men khaki shoes
9660,men,Apparel,Topwear,shirts,pink,fall,2011,casual,Indigo Nation Men Reversible Bling Pink Shirts,indigo,men shirts pink indigo casual fall indigo nation men reversible bling pink shirts
2288,women,Apparel,Topwear,tshirts,black,fall,2010,sports,Nike Women Black T-shirt,nike,women tshirts black nike sports fall nike women black t-shirt
23876,men,Apparel,Topwear,sweatshirts,blue,fall,2011,casual,ADIDAS Men Blue Sweatshirt,adidas,men sweatshirts blue adidas casual fall adidas men blue sweatshirt
18237,men,Apparel,Topwear,tshirts,red,fall,2011,casual,Manchester United Men Solid Red Tshirt,manchester,men tshirts red manchester casual fall manchester united men solid red tshirt
54118,women,Footwear,Shoes,heels,black,winter,2012,casual,Rocia Women Black Flats,rocia,women heels black rocia casual winter rocia women black flats
2872,women,Footwear,Shoes,heels,brown,winter,2015,casual,Catwalk Women Leather Flats,catwalk,women heels brown catwalk casual winter catwalk women leather flats
49653,women,Apparel,Topwear,tops,green,summer,2012,casual,Mineral Women Green Top,mineral,women tops green mineral casual summer mineral women green top
8574,women,Footwear,Sandal,sandals,pink,fall,2011,casual,Crocs Dora Boots Pink Sandals,crocs,women sandals pink crocs casual fall crocs dora boots pink sandals
16957,men,Accessories,Eyewear,sunglasses,black,winter,2016,casual,Image Men Sunglasses,image,men sunglasses black image casual winter image men sunglasses
19123,men,Footwear,Flip Flops,flip flops,silver,fall,2011,casual,Lotto Men XL Water Man Silver Slippers,lotto,men flip flops silver lotto casual fall lotto men xl water man silver slippers
13419,men,Apparel,Topwear,tshirts,pink,summer,2011,casual,United Colors of Benetton Men Solid Pink Polo T-shirts,united colors of benetton,men tshirts pink united colors of benetton casual summer united colors of benetton men solid pink polo t-shirts
17885,men,Apparel,Innerwear,innerwear vests,grey,summer,2016,casual,Levis Men Comfort Style Grey Innerwear Vest,levis,men innerwear vests grey levis casual summer levis men comfort style grey innerwear vest
43369,men,Footwear,Flip Flops,flip flops,black,summer,2013,casual,Reebok Men Black Possession Flip Flops,reebok,men flip flops black reebok casual summer reebok men black possession flip flops
48781,women,Accessories,Jewellery,pendant,silver,summer,2012,casual,Lucera Women Silver Pendant,lucera,women pendant silver lucera casual summer lucera women silver pendant
44970,men,Accessories,Watches,watches,white,winter,2016,casual,Maxima Men White Dial Analog Chronograph Watch,maxima,men watches white maxima casual winter maxima men white dial analog chronograph watch
56489,women,Personal Care,Nails,nail polish,bronze,spring,2017,unknown,Streetwear Ash Nail Polish # 31,streetwear,women nail polish bronze streetwear unknown spring streetwear ash nail polish # 31
39524,unisex,Accessories,Bags,laptop bag,orange,summer,2012,casual,Peter England Unisex Orange Sleeve Bag,peter england,unisex laptop bag orange peter england casual summer peter england unisex orange sleeve bag
33822,men,Footwear,Shoes,sports shoes,white,summer,2012,sports,Puma Men Axis White & Grey Sports Shoes,puma,men sports shoes white puma sports summer puma men axis white & grey sports shoes
58513,women,Apparel,Topwear,tops,off white,summer,2012,casual,Tonga Women Maroon Top,tonga,women tops off white tonga casual summer tonga women maroon top
25947,women,Accessories,Scarves,scarves,brown,summer,2012,casual,Femella Women Brown Scarf,femella,women scarves brown femella casual summer femella women brown scarf
52029,unisex,Apparel,Topwear,rain jacket,coffee brown,summer,2012,unknown,Just Natural Unisex Charcoal Rain Jacket,just,unisex rain jacket coffee brown just unknown summer just natural unisex charcoal rain jacket
5865,men,Apparel,Topwear,tshirts,black,summer,2011,casual,ADIDAS Men's Twelve Faster T-shirt,adidas,men tshirts black adidas casual summer adidas men's twelve faster t-shirt
39716,women,Apparel,Dress,dresses,blue,summer,2012,casual,Arrow Woman Women Blue Dress,arrow,women dresses blue arrow casual summer arrow woman women blue dress
25349,men,Apparel,Innerwear,briefs,red,summer,2016,casual,Levis Men Red Brief,levis,men briefs red levis casual summer levis men red brief
11940,men,Footwear,Sandal,sandals,black,summer,2011,casual,Ganuchi Men Casual Black Sandals,ganuchi,men sandals black ganuchi casual summer ganuchi men casual black sandals
55802,women,Apparel,Loungewear and Nightwear,night suits,white,summer,2017,casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,sdl,women night suits white sdl casual summer sdl by sweet dreams women green printed night suit s11-3124
29584,men,Apparel,Topwear,tshirts,black,summer,2012,casual,Indigo Nation Men Printed Black T-shirt,indigo,men tshirts black indigo casual summer indigo nation men printed black t-shirt
43967,women,Personal Care,Fragrance,perfume and body mist,red,spring,2017,casual,DKNY Women Red Delicious Perfume,dkny,women perfume and body mist red dkny casual spring dkny women red delicious perfume
28456,women,Apparel,Bottomwear,skirts,blue,summer,2012,sports,Urban Yoga Women Blue Skirt With Leggings,urban,women skirts blue urban sports summer urban yoga women blue skirt with leggings
34009,girls,Apparel,Topwear,tops,black,summer,2012,casual,Gini and Jony Girls Black Top,gini & jony,girls tops black gini & jony casual summer gini and jony girls black top
19311,men,Footwear,Shoes,casual shoes,white,fall,2011,casual,Nike Men Air Rift MTR White Casual Shoe,nike,men casual shoes white nike casual fall nike men air rift mtr white casual shoe
42089,men,Footwear,Shoes,sports shoes,white,summer,2012,sports,ADIDAS Men White Corona Sports Shoes,adidas,men sports shoes white adidas sports summer adidas men white corona sports shoes
22950,unisex,Accessories,Watches,watches,black,winter,2016,casual,Fastrack Unisex Black Dial Watch 9915PP13,fastrack,unisex watches black fastrack casual winter fastrack unisex black dial watch 9915pp13
49461,men,Footwear,Shoes,casual shoes,blue,summer,2012,casual,Vans Men Blue Era Scilla Plaid Shoes,vans,men casual shoes blue vans casual summer vans men blue era scilla plaid shoes
8746,unisex,Footwear,Flip Flops,flip flops,navy blue,summer,2015,casual,Crocs Kids Navy Blue Clogs,crocs,unisex flip flops navy blue crocs casual summer crocs kids navy blue clogs
9694,men,Apparel,Topwear,tshirts,white,fall,2011,casual,Classic Polo Men Vulcan White Polo Tshirts,classic,men tshirts white classic casual fall classic polo men vulcan white polo tshirts
23882,men,Footwear,Shoes,sports shoes,grey,fall,2011,sports,Fila Men Destiny Grey Sports Shoes,fila,men sports shoes grey fila sports fall fila men destiny grey sports shoes
34835,men,Footwear,Shoes,sports shoes,blue,summer,2012,sports,ADIDAS Men Blue Chill Sports Shoes,adidas,men sports shoes blue adidas sports summer adidas men blue chill sports shoes
15984,men,Apparel,Topwear,shirts,yellow,fall,2011,casual,Turtle Check Men Yellow Shirt,turtle,men shirts yellow turtle casual fall turtle check men yellow shirt
41268,men,Accessories,Wallets,wallets,black,summer,2012,casual,Arrow Men Black Wallet,arrow,men wallets black arrow casual summer arrow men black wallet
11518,women,Footwear,Shoes,heels,grey,winter,2015,casual,Catwalk Women Gun Metal Grey Heels,catwalk,women heels grey catwalk casual winter catwalk women gun metal grey heels
14856,women,Accessories,Wallets,wallets,beige,summer,2011,casual,United Colors of Benetton Women Solid Beige Wallets,united colors of benetton,women wallets beige united colors of benetton casual summer united colors of benetton women solid beige wallets
33648,men,Footwear,Sandal,sandals,brown,summer,2012,casual,Lotto Men Ridge Brown Sandals,lotto,men sandals brown lotto casual summer lotto men ridge brown sandals
59297,men,Apparel,Topwear,shirts,white,fall,2012,casual,U.S. Polo Assn. Men White & Navy Blue Shirt,u.s. polo assn.,men shirts white u.s. polo assn. casual fall u.s. polo assn. men white & navy blue shirt
28032,men,Apparel,Innerwear,briefs,white,summer,2016,casual,Jockey ELANCE Men Bikini White Brief 1005,jockey,men briefs white jockey casual summer jockey elance men bikini white brief 1005
27846,women,Apparel,Topwear,blazers,charcoal,summer,2012,formal,Scullers For Her Charcoal Blazer,scullers,women blazers charcoal scullers formal summer scullers for her charcoal blazer
26994,women,Apparel,Bottomwear,jeans,black,summer,2012,casual,Jealous 21 Women Black Jeans,jealous 21,women jeans black jealous 21 casual summer jealous 21 women black jeans
49839,women,Footwear,Flip Flops,flip flops,red,winter,2012,casual,iPanema Women Red Flip Flops,ipanema,women flip flops red ipanema casual winter ipanema women red flip flops
31923,women,Accessories,Bags,handbags,blue,summer,2012,casual,Fabindia Women Blue Silk Sling Bag,fabindia,women handbags blue fabindia casual summer fabindia women blue silk sling bag
2618,women,Footwear,Shoes,flats,silver,spring,2010,casual,Carlton London Women Silver Wedge Sandal,carlton,women flats silver carlton casual spring carlton london women silver wedge sandal
54588,women,Apparel,Topwear,kurtas,green,summer,2012,ethnic,Sushilas Women Printed Green Kurta,sushilas,women kurtas green sushilas ethnic summer sushilas women printed green kurta
49005,women,Accessories,Jewellery,ring,silver,summer,2012,casual,Lucera Women Silver Ring,lucera,women ring silver lucera casual summer lucera women silver ring
8322,boys,Apparel,Topwear,tshirts,blue,fall,2011,casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,doodle,boys tshirts blue doodle casual fall doodle boy's route 66 biker blue teen kidswear
13841,unisex,Accessories,Watches,watches,white,winter,2016,casual,ADIDAS Unisex Three Small Dials White Watches,adidas,unisex watches white adidas casual winter adidas unisex three small dials white watches
28200,men,Accessories,Eyewear,sunglasses,copper,winter,2016,casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,ray-ban,men sunglasses copper ray-ban casual winter ray-ban men active lifestyle copper sunglasses
12993,unisex,Footwear,Shoes,sports shoes,black,fall,2011,sports,ADIDAS Kids Adispeed Black Sports Shoes,adidas,unisex sports shoes black adidas sports fall adidas kids adispeed black sports shoes
7158,men,Apparel,Topwear,shirts,green,fall,2011,casual,Scullers Men  Green Check Shirt,scullers,men shirts green scullers casual fall scullers men  green check shirt
18495,men,Footwear,Sandal,sandals,white,fall,2011,casual,Puma Men Fashion Cat White Slipper,puma,men sandals white puma casual fall puma men fashion cat white slipper
8110,men,Accessories,Watches,watches,black,winter,2016,casual,Fastrack Men Economy 2 Analg Black Watch,fastrack,men watches black fastrack casual winter fastrack men economy 2 analg black watch
19547,men,Apparel,Topwear,sweatshirts,blue,fall,2011,casual,United Colors of Benetton Men Solid Blue Sweatshirt,united colors of benetton,men sweatshirts blue united colors of benetton casual fall united colors of benetton men solid blue sweatshirt
7964,men,Apparel,Topwear,tshirts,black,fall,2011,sports,Puma Men's Large Logo Graphic Black T-shirt,puma,men tshirts black puma sports fall puma men's large logo graphic black t-shirt
36934,women,Personal Care,Fragrance,perfume and body mist,gold,spring,2017,casual,Giorgio Armani Women Idole Perfume,giorgio,women perfume and body mist gold giorgio casual spring giorgio armani women idole perfume
39140,women,Apparel,Apparel Set,kurta sets,black,summer,2012,ethnic,Aneri Women Black & Maroon Salwar Suit,aneri,women kurta sets black aneri ethnic summer aneri women black & maroon salwar suit
20851,women,Accessories,Bags,clutches,red,winter,2015,casual,Spice Art Women Ribbon Embroidery Red Clutch,spice,women clutches red spice casual winter spice art women ribbon embroidery red clutch
41866,men,Footwear,Sandal,sandals,beige,fall,2015,casual,Estd. 1977 Men Beige & Green Sandals,estd.,men sandals beige estd. casual fall estd. 1977 men beige & green sandals
58177,women,Accessories,Bags,handbags,brown,summer,2012,casual,Rocky S Women Brown Handbag,rocky,women handbags brown rocky casual summer rocky s women brown handbag
44528,men,Footwear,Sandal,sandals,black,summer,2012,casual,Coolers Men Black Sandals,coolers,men sandals black coolers casual summer coolers men black sandals
16392,men,Apparel,Topwear,shirts,red,fall,2011,casual,Levis Men Check Red Shirts,levis,men shirts red levis casual fall levis men check red shirts
51455,women,Apparel,Topwear,shrug,pink,summer,2012,casual,Tonga Women Pink Printed Shrug,tonga,women shrug pink tonga casual summer tonga women pink printed shrug
50587,men,Apparel,Innerwear,briefs,grey,summer,2016,casual,Chromozome Men Grey Briefs,chromozome,men briefs grey chromozome casual summer chromozome men grey briefs
17240,men,Apparel,Topwear,tshirts,black,fall,2011,casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,u.s. polo assn.,men tshirts black u.s. polo assn. casual fall u.s. polo assn. men stripes black  polo tshirt
47530,women,Footwear,Shoes,flats,copper,winter,2012,casual,Portia Women Copper-Toned & Brown Sandals,portia,women flats copper portia casual winter portia women copper-toned & brown sandals
6617,men,Apparel,Topwear,shirts,black,summer,2011,casual,Spykar Men Black and white Check Shirt,spykar,men shirts black spykar casual summer spykar men black and white check shirt
12732,unisex,Accessories,Bags,backpacks,black,fall,2011,sports,Nike Unisex Swoosh Black Backpack,nike,unisex backpacks black nike sports fall nike unisex swoosh black backpack
3365,men,Apparel,Topwear,tshirts,black,summer,2011,casual,Myntra Men's Brain Black T-shirt,myntra,men tshirts black myntra casual summer myntra men's brain black t-shirt
42042,men,Footwear,Shoes,sports shoes,white,summer,2012,sports,Nike Men Air Relentless 2 MSL White Sports Shoes,nike,men sports shoes white nike sports summer nike men air relentless 2 msl white sports shoes
23849,men,Footwear,Shoes,casual shoes,black,fall,2011,casual,ADIDAS Men Black Anzo Breeze Casual Shoes,adidas,men casual shoes black adidas casual fall adidas men black anzo breeze casual shoes
43190,women,Accessories,Watches,watches,white,winter,2016,casual,Fastrack Women White Dial Watch,fastrack,women watches white fastrack casual winter fastrack women white dial watch
48578,men,Accessories,Jewellery,bracelet,steel,summer,2012,casual,Revv Men Steel Bracelet,revv,men bracelet steel revv casual summer revv men steel bracelet
30462,women,Apparel,Innerwear,bra,black,summer,2014,casual,Lovable Women All Day Long Black Bra,lovable,women bra black lovable casual summer lovable women all day long black bra
18208,men,Accessories,Headwear,caps,white,fall,2011,casual,Manchester United Men Solid White Cap,manchester,men caps white manchester casual fall manchester united men solid white cap
54127,women,Footwear,Shoes,heels,black,winter,2012,casual,Rocia Women Black Heels,rocia,women heels black rocia casual winter rocia women black heels
10065,men,Apparel,Topwear,tshirts,yellow,fall,2011,casual,Puma Men ducati logo tee Yellow Tshirts,puma,men tshirts yellow puma casual fall puma men ducati logo tee yellow tshirts
24250,men,Footwear,Shoes,casual shoes,white,fall,2012,casual,Numero Uno Men White Casual Shoes,numero,men casual shoes white numero casual fall numero uno men white casual shoes
32335,men,Accessories,Watches,watches,silver,winter,2016,casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,q&q,men watches silver q&q casual winter q&q men silver-toned dial analogue watch q252j404y
25382,men,Apparel,Innerwear,innerwear vests,white,summer,2016,casual,Levis Men White Innerwear Vest,levis,men innerwear vests white levis casual summer levis men white innerwear vest
56670,men,Accessories,Watches,watches,black,winter,2016,casual,Maxima Men Black Dial Watch,maxima,men watches black maxima casual winter maxima men black dial watch
5092,men,Apparel,Topwear,tshirts,purple,summer,2011,casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,wrangler,men tshirts purple wrangler casual summer wrangler men's minstrel shoulder loop purple t-shirt
10859,men,Apparel,Topwear,tshirts,navy blue,fall,2011,casual,Wrangler Men Furious Rides Navy Blue T-Shirts,wrangler,men tshirts navy blue wrangler casual fall wrangler men furious rides navy blue t-shirts
59638,women,Apparel,Saree,sarees,green,fall,2012,ethnic,FNF Green Wedding Collection Sari,fnf,women sarees green fnf ethnic fall fnf green wedding collection sari
15517,men,Footwear,Shoes,casual shoes,red,fall,2011,casual,Rockport Men LLandro Red Casual Shoes,rockport,men casual shoes red rockport casual fall rockport men llandro red casual shoes
4140,women,Footwear,Shoes,casual shoes,green,winter,2015,casual,Skechers Women Green Shoe,skechers,women casual shoes green skechers casual winter skechers women green shoe
36795,men,Accessories,Watches,watches,silver,winter,2016,casual,Maxima Men Ssteele Silver Dial Watch,maxima,men watches silver maxima casual winter maxima men ssteele silver dial watch
40527,men,Accessories,Watches,watches,gold,winter,2016,casual,Titan Men Gold Dial Watch,titan,men watches gold titan casual winter titan men gold dial watch
10257,men,Apparel,Bottomwear,trousers,black,fall,2011,formal,John Miller Men Solid Type Black Trousers,john,men trousers black john formal fall john miller men solid type black trousers
24062,men,Apparel,Topwear,tshirts,navy blue,summer,2012,casual,Locomotive Men Navy Blue Printed T-shirt,locomotive,men tshirts navy blue locomotive casual summer locomotive men navy blue printed t-shirt
45869,men,Accessories,Watches,watches,brown,winter,2016,casual,Maxima Men Brown Dial Watch,maxima,men watches brown maxima casual winter maxima men brown dial watch
11385,women,Apparel,Topwear,sweatshirts,black,fall,2011,casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,united colors of benetton,women sweatshirts black united colors of benetton casual fall united colors of benetton women light winter black sweatshirts
